BLDG #,ADDRESS #,STREET,NUMBER OF UNITS (HIP OR GABLE),BLD TYPE,MANUFACTURE,CLASS,COLOR,RE-ROOF COMPLETION,2025 INSP Rating,REPAIR COST,Vent Type (#),Vent Replacement,Partial Gutters,Full Gutter Replacement,DESCRIPTION,Claim Number,,
42,"23605, 25, 45, 85",E KETTLE PL,4  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Dec-13,2,"$5,563",RVs (24)**,,,," REPLACE 12 SQUARES OF DAMAGED/DEFECTIVE SHINGLES AND NECESSARY RIDGE CAPS; REMOVE, REPLACE AND PAINT DAMAGED FLUE VENT CAP ", CR0921632 ,,
43,"7652, 54, 62",S BILOXI WAY,3  (H) 3,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Dec-13,4,,RVs (18)**,,"$1,206","$1,518",REPLACE 165' OF GUTTERS (FULL REPLACEMENT),,,
44,"7501, 03, 11, 13, 21, 23",S ADDISON WAY,6  (G) 2,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,3,,Power (6) ,"$5,217",,,"REMOVE 6 POWER VENTS, INSTALL RIDGE VENT",,,
45,"7531, 33, 41, 43, 51, 53",S ADDISON WAY,6  (H) 1,HIP,CERTAINTEED,NORTHGATE,MOIRE BLACK,,5,,RVs (28) **,,,,,,,
46,"7561, 63, 71, 73, 81, 93",S ADDISON WAY,6  (G) 1,GABLE,OC-DURATION,STORM IR,BROWNWOOD,Nov-21,5,,RIDGE VENT ,,,,,,,
47,"7591, 93, 7601, 03, 05, 07",S ADDISON WAY,6  (H) 2,HIP,OC-DURATION,STORM IR,TEAK,Oct-19,5,,Power (6) ,"$4,725",,,"REMOVE 6 POWER VENTS, INSTALL RIDGE VENT",,,
48,"7611, 13, 15",S ADDISON WAY,3  (G) 1,GABLE,OC-DURATION,STORM IR,BROWNWOOD,May-22,5,,RIDGE VENT ,,,"$1,732",FULL GUTTER REPLACEMENT,,,
49,"7621, 23, 25, 27",S ADDISON WAY,4  (H) 1,HIP,OC-DURATION,STORM IR,DRIFTWOOD,May-22,5,,RIDGE VENT ,,"$1,967","$3,241","REPLACE 265' OF GUTTERS, RE-SEAL 9 MITERS (FULL REPLACEMENT)",,,
50,"7631, 33, 35, 37",S ADDISON WAY,4  (G) 1,GABLE,CERTAINTEED,IKO - NORDIC,GRANITE BLACK,,5,,Power 4 ,"$4,120","$1,718","$3,241",REPALCE 192' OF GUTTERS (FULL REPLACEMENT),,,
51,"7641, 43, 45",S ADDISON WAY,3  (H) 2,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Feb-15,4,,Power 3 ,"$2,658",,"$2,923"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
